,Cu,Mg,Mn,Fe,Si,Zn,Zr,temperature
44,4.456655,1.7443466,0.38748997,0.17817476,0.28072542,0.23566528,0.23801027,0.78089094
45,4.0664124,1.7640516,0.7706132,0.16936694,0.226941,0.17516087,0.17363808,0.5649565
46,4.435759,1.774133,0.5187861,0.15488671,0.29888085,0.22478773,0.24226436,0.73105353
47,3.8667903,1.7494578,0.74060786,0.17455313,0.39730182,0.17150925,0.19135742,0.1939383
48,4.0772133,1.7487967,0.7356436,0.17089926,0.23622061,0.17840551,0.17899242,0.539322
49,4.0124574,1.4500778,0.47328413,0.19722736,0.25929716,0.16343375,0.2356582,0.29317182
50,4.299561,1.5661514,0.7356825,0.19266468,0.30960608,0.16988952,0.1726434,0.14939602
51,4.2303324,1.4593108,0.430472,0.2777182,0.40180844,0.20004445,0.18562897,0.71179795
52,3.907639,1.3218694,0.41101572,0.19471198,0.6015351,0.1935743,0.20039931,0.9341653
53,4.474682,1.1919813,0.52871835,0.19077148,0.31654945,0.34074882,0.35399812,0.48341542
54,4.520737,1.1772965,0.6671506,0.18689339,0.27599272,0.22785094,0.17319266,0.8498622
55,3.7907262,1.3453991,0.66639054,0.24907964,0.45530978,0.073317036,0.098530576,0.5258948
56,3.991311,1.1858604,0.7305007,0.23858458,0.576473,0.10858573,0.21122807,0.55378675
57,4.1489697,1.5935986,0.5850048,0.2169911,0.5842517,0.15803565,0.16749778,0.9687522
58,4.421443,1.5877011,0.4355272,0.21343675,0.20202754,0.22389589,0.2035462,0.9689618
59,4.346501,1.8163083,0.7969223,0.14742593,0.18987755,0.20030755,0.21479546,0.6781391
60,3.797275,1.192496,0.40435755,0.18534161,0.57000625,0.1933229,0.1676228,0.9239709
61,4.4632096,1.7522066,0.46400535,0.20112863,0.34866548,0.20143157,0.22600015,0.2748047
62,4.4748693,1.7755857,0.5063363,0.1985991,0.3223906,0.20012099,0.224605,0.31695542
63,3.8196197,1.3964078,0.65945536,0.26974463,0.2676694,0.24256082,0.30547193,0.025285449
64,4.3267407,1.8562863,0.81388915,0.18004137,0.30818954,0.21091555,0.19057864,0.1120596
65,4.4407063,1.4229453,0.7468877,0.11531258,0.58581924,0.15297322,0.27664223,0.046313412
66,3.9558039,1.7603965,0.8091959,0.16824208,0.20879917,0.16895355,0.17397363,0.6195355
67,4.2199,1.5758193,0.67433655,0.23334002,0.42165408,0.20381413,0.16472894,0.9551676
68,4.177758,1.5597312,0.40331626,0.28543726,0.60279834,0.22084478,0.16229938,0.89951
69,4.384893,1.626253,0.35157433,0.19887456,0.49845228,0.15064985,0.23365551,0.3952866
70,4.1325316,1.8131945,0.5774991,0.2006767,0.2780697,0.19860826,0.1997488,0.36714503
71,4.0503874,1.497612,0.3996591,0.18127671,0.39301333,0.21894582,0.27330348,0.103735715
72,3.8835073,1.7155943,0.72252744,0.15180793,0.47825262,0.14509267,0.1878524,0.17779769
73,3.7187395,1.7916354,0.39491388,0.23458737,0.2446943,0.22448649,0.24012448,0.91178125
74,4.0602226,1.7191453,0.46665585,0.11326358,0.5909846,0.14992501,0.14540821,0.74450845
75,3.7111087,1.8059913,0.4857906,0.24614888,0.261351,0.22635977,0.23170047,0.9214082
76,3.966459,1.739464,0.86324537,0.23523301,0.24060304,0.18426013,0.13958901,0.89923567
77,4.22265,1.7247293,0.52481407,0.17277956,0.25713181,0.22059244,0.20649458,0.92495245
78,3.991729,1.7476578,0.45841208,0.21923807,0.38511717,0.21521103,0.2006763,0.73659825
79,4.174748,1.568858,0.40078413,0.2974598,0.59689856,0.208762,0.14750746,0.91981107
80,4.193838,1.5726447,0.69348633,0.22335738,0.48273996,0.18489794,0.16359976,0.9642762
81,4.247639,1.6222134,0.6930529,0.2197394,0.2558556,0.22578096,0.14949802,0.90680456
82,4.339945,1.7245514,0.4104721,0.16740492,0.28118554,0.23296493,0.22862262,0.8657253
83,4.0079956,1.6404605,0.7959801,0.18367483,0.2438346,0.19265963,0.16176738,0.8942502
84,3.7202992,1.8105304,0.4901424,0.24306598,0.29596996,0.2316256,0.23820469,0.9247596
85,3.9269047,1.6934638,0.83488965,0.2073693,0.23134293,0.18432234,0.15646645,0.8852743
86,3.8040798,1.808569,0.72519314,0.2239855,0.22905587,0.22092688,0.19942349,0.26173973
87,3.8313181,1.7178426,0.5354152,0.19896422,0.23822598,0.19068858,0.17974743,0.47185394
88,3.7390027,1.294677,0.3984002,0.14395255,0.48545834,0.16961649,0.13673604,0.90097207
89,4.496581,1.2461321,0.8031239,0.14340708,0.57551205,0.1227925,0.22859462,0.7532127
90,3.9107487,1.3064287,0.41407192,0.18250862,0.6012037,0.19177985,0.21416248,0.9252369
91,3.8833308,1.2835418,0.7969163,0.19591595,0.48104706,0.1416806,0.13619044,0.48418102
92,4.207207,1.3942039,0.48320752,0.25144726,0.3470121,0.21793106,0.17688382,0.7308976
93,4.079477,1.5249908,0.6105662,0.23205203,0.42338035,0.18449803,0.18124571,0.9665187
94,4.1770687,1.1820673,0.8291091,0.23225164,0.35341012,0.11975999,0.154748,0.8586183
95,4.5013976,1.2390777,0.37725136,0.20046745,0.37762925,0.2065173,0.20249727,0.7779096
96,4.1661534,1.1981201,0.37684596,0.28864336,0.22753192,0.15920718,0.27450535,0.3056169
97,4.180468,1.1950979,0.37301672,0.27936012,0.22534011,0.15934597,0.27792507,0.32924467
98,3.9577024,1.2054912,0.62204254,0.15571745,0.61377424,0.25593844,0.18757343,0.7904348
99,3.9000635,1.7208505,0.40014863,0.22035617,0.37312382,0.20187135,0.19075418,0.72198534
100,4.111997,1.6898053,0.839844,0.20335875,0.2513461,0.19043413,0.14301853,0.90024793
101,4.448097,1.8609674,0.7703136,0.17039935,0.1865082,0.19022883,0.19326988,0.5495579
102,4.136168,1.4333795,0.7605344,0.31070945,0.4153472,0.2692736,0.33328828,0.02599748
103,4.555754,1.1641518,0.36472824,0.14939047,0.2442485,0.1973909,0.27627462,0.37397295
104,4.499369,1.3208945,0.849046,0.2555753,0.38131228,0.1354044,0.21574566,0.92077965
105,4.574717,1.3653231,0.6694607,0.16407442,0.42203924,0.1374249,0.033374973,0.042690165
106,4.259806,1.245255,0.7049103,0.21260361,0.39098552,0.1595758,0.18624799,0.12590536
107,4.222408,1.1746511,0.38503107,0.088476926,0.64213675,0.10645507,0.23810726,0.44781426
108,4.047843,1.3827715,0.5993656,0.15193424,0.61234045,0.16815808,0.26166934,0.7991368
109,3.8527532,1.2402295,0.5019205,0.15949208,0.54321533,0.20604849,0.14079708,0.5378676
110,4.1940904,1.2048075,0.3774253,0.22086525,0.2435232,0.123413935,0.29603896,0.3653228
111,4.2249084,1.2758738,0.5037462,0.2819159,0.48417184,0.09651853,0.27166483,0.1620711
112,4.48313,1.3353481,0.75603783,0.05062917,0.6081193,0.15726455,0.30617756,0.073730156
113,4.6144795,1.1409601,0.5833705,0.16188894,0.5605042,0.2156588,0.14101805,0.10681517
114,3.8502154,1.3204033,0.5459512,0.20804161,0.58297455,0.16837905,0.21735066,0.16935125
115,3.850621,1.2046933,0.4867278,0.30043995,0.60607016,0.22643529,0.29660824,0.28100103
116,3.974814,1.1220827,0.45248887,0.20912772,0.5343939,0.2588739,0.34089836,0.269612
117,3.8586135,1.1519974,0.30207062,0.14512557,0.44080094,0.21747151,0.3333908,0.1429935
118,3.8764086,1.152224,0.2738086,0.14768177,0.4709452,0.20859174,0.30664212,0.11408339
119,4.4115005,1.4401245,0.41451406,0.20652267,0.55125767,0.19543739,0.17632109,-0.14012045
120,4.511996,1.5802171,0.60819906,0.33280802,0.5125791,0.22271983,0.10842235,-0.21895547
121,4.5559354,1.2222166,0.3737345,0.29342425,0.18357308,0.13180973,0.2815722,0.16186754
122,4.4724007,1.2261534,0.36491472,0.2657927,0.18574286,0.2271524,0.26235345,0.82271796
123,4.5781856,1.2344885,0.28260684,0.26071915,0.17315999,0.27502972,0.2925217,0.596266
124,4.4807925,1.1929209,0.4037515,0.14866245,0.19463456,0.23293479,0.20872642,0.91009164
125,4.515704,1.2062534,0.6133939,0.13644968,0.22318032,0.124361485,0.09456665,0.99940544
126,4.4956775,1.2277962,0.5237446,0.31414372,0.42316055,0.13516061,0.27265736,0.95013416
127,4.085786,1.1987166,0.59225476,0.18816495,0.2047847,0.20914416,0.22362328,0.83726305
128,4.1597643,1.358032,0.6349108,0.23079023,0.15288444,0.26370463,0.2382092,0.84715956
129,4.2016807,1.4935586,0.6725615,0.22180289,0.1710506,0.24825315,0.21370962,0.9327951
130,4.0120525,1.1678346,0.43857864,0.21741,0.19819166,0.20945668,0.30092183,0.96424305
131,3.9976244,1.4467578,0.5903614,0.12274276,0.30929622,0.08419724,0.20147912,0.973546
132,3.8830748,1.3357236,0.5096139,0.26034275,0.196788,0.24909514,0.2263268,0.7809035
133,4.1436234,1.1955265,0.39729363,0.18679127,0.1962107,0.20214923,0.32366875,1.0000647
134,4.2078614,1.216825,0.39336988,0.18180415,0.19239931,0.20675114,0.313247,1.0045447
135,4.208536,1.4142299,0.61249256,0.17899178,0.2023594,0.120426565,0.26431766,1.0126538
136,4.067675,1.3227133,0.4694776,0.18291806,0.17332171,0.06522469,0.30298403,1.0139935
137,3.9436338,1.4199134,0.5494319,0.22303283,0.23556517,0.20338978,0.20039082,0.8481954
138,4.067541,1.2438084,0.51529634,0.20673905,0.19974245,0.10192384,0.30208197,0.95197743
139,4.4125366,1.1746483,0.73249006,0.2671564,0.29990444,0.19420993,0.13732852,0.6510041
140,4.4763494,1.1905303,0.55949247,0.21461813,0.4177547,0.36907437,0.20693275,0.62129086
141,4.0231905,1.2038542,0.75516784,0.14194785,0.21496357,0.15703733,0.29257417,0.63287157
142,3.8030689,1.2099793,0.8025409,0.12800401,0.22131889,0.15917693,0.17821659,0.65548915
143,4.480354,1.7607744,0.5122299,0.20521288,0.40221047,0.20373753,0.22978203,0.27338347
144,4.3582916,1.7159534,0.40355313,0.16302885,0.26128215,0.2317511,0.22921984,0.8730109
145,4.497005,1.34742,0.87005347,0.22273153,0.6034775,0.20695777,0.22324121,0.87963563
146,3.7308474,1.1584692,0.4045061,0.10060473,0.48025748,0.24159297,0.16199346,0.78835624
147,4.4561505,1.1846352,0.49519658,0.16349939,0.4485754,0.25966296,0.21885103,0.46648157
148,4.495575,1.3791027,0.37513816,0.28899136,0.60392296,0.17138289,0.21923128,0.27200186
149,4.0411935,1.3782903,0.60628486,0.12786037,0.61661136,0.1885406,0.27202067,0.7948471
150,4.3456516,1.6237221,0.4503832,0.21345398,0.59028304,0.17936336,0.2770069,0.23673223
151,4.0368285,1.8292196,0.6988942,0.20784369,0.26223934,0.21163742,0.19878621,0.2740498
152,3.8138542,1.7953557,0.3847367,0.2427583,0.25643435,0.23052166,0.23460986,0.89175767
153,4.5374837,1.2953439,0.7717605,0.22576338,0.4378691,0.121574536,0.13916066,0.24692182
154,4.0369234,1.3819997,0.595734,0.15326144,0.6126994,0.16352816,0.26204225,0.8002853
155,4.0821524,1.8078072,0.8457832,0.17156833,0.2065178,0.16909498,0.17417438,0.62482876
156,4.303811,1.7413568,0.4237352,0.17665063,0.32297602,0.23510002,0.22731347,0.84484076
157,3.809523,1.7992837,0.39637688,0.2406345,0.23323368,0.23391016,0.24037057,0.92006725
158,3.8499706,1.5799147,0.71916664,0.15769294,0.3969575,0.23150045,0.24975555,0.9390468
159,3.724272,1.7853703,0.39472458,0.23031592,0.26224086,0.21861173,0.23315217,0.8957096
160,3.8946643,1.7793778,0.38705173,0.23605269,0.30891657,0.22520961,0.2166367,0.8335984
161,4.141049,1.2104075,0.7867446,0.19811535,0.19050957,0.24023142,0.21283671,0.5005499
162,3.9044297,1.460726,0.41337708,0.12212455,0.45759612,0.18240015,0.19167596,0.882889
163,4.1122327,1.8366365,0.61521304,0.20750141,0.26871297,0.2036918,0.19957037,0.34132212
164,4.0886464,1.4712231,0.43248674,0.23387298,0.6120784,0.21271345,0.26393086,0.74902827
165,4.297457,1.6783805,0.7443724,0.18814018,0.26953566,0.21190114,0.14964025,0.9072096
166,4.4979177,1.7129006,0.47229445,0.214702,0.5427336,0.17684633,0.2345367,0.43150094
167,4.421613,1.6377615,0.4094594,0.16747099,0.18403898,0.22067232,0.22933961,0.91343015
168,4.4220514,1.2323769,0.7858802,0.117522866,0.6217336,0.09907986,0.24635053,0.41995692
169,4.489505,1.38997,0.4293452,0.25372416,0.29638347,0.05945726,0.20820409,0.8417507
170,4.493295,1.2002451,0.58690596,0.2738494,0.42725086,0.14313106,0.32014954,0.6146864
171,4.51061,1.1843151,0.8020328,0.22361296,0.20025201,0.18768811,0.18892938,0.767415
172,3.7839491,1.2008299,0.74700624,0.17312974,0.4295486,0.20367229,0.10803666,0.7207058
173,4.404573,1.4483342,0.7822654,0.22116864,0.18415971,0.2864463,0.20614333,0.94788647
174,4.2484603,1.2372808,0.59600794,0.119225755,0.17697494,0.24060544,0.23918751,0.70050114
175,3.967846,1.4042325,0.46722424,0.047563672,0.27849406,0.19305226,0.26761925,0.86127895
176,3.8282752,1.2249179,0.4964844,0.19398968,0.18630894,0.1719854,0.26797518,0.3167579
177,4.4989405,1.4065104,0.43718958,0.21026711,0.44069517,0.13577181,0.16429517,0.836289
178,4.3283644,1.500971,0.62166333,0.17023283,0.4829205,0.17174123,0.20711368,0.7528875
179,4.282286,1.4098513,0.7415388,0.16808707,0.601108,0.16865982,0.25013363,0.042209376
180,4.3880644,1.6244912,0.66625804,0.2402249,0.3350189,0.24533314,0.15967816,0.9249628
181,4.4325686,1.1746184,0.42375052,0.19950345,0.6464445,0.16819917,0.115843095,0.5394643
182,3.8361583,1.347909,0.38423854,0.042924434,0.2485085,0.17619632,0.1846182,0.84551245
183,3.9898758,1.4078021,0.4956965,0.056175753,0.29414693,0.19147138,0.27664074,0.8644579
184,4.29513,1.2158165,0.4868646,0.12177323,0.61061597,0.3165928,0.15234578,0.5102233
185,4.50491,1.2604872,0.5233171,0.16637397,0.64532334,0.08980544,0.07375585,-0.036614843
186,4.5286317,1.1792811,0.3540289,0.2017181,0.2329459,0.20660584,0.2522653,0.23493174
187,4.484684,1.4437051,0.60880286,0.13602287,0.39695486,0.119810835,0.2873598,0.0058827642
188,4.4761395,1.684202,0.7874379,0.18465671,0.11485015,0.20074143,0.21066573,0.80367136
189,4.0962415,1.5383822,0.63114595,0.22289804,0.4600648,0.17740904,0.18248913,0.96450466
190,3.8051474,1.2298499,0.8179163,0.18555504,0.38954392,0.19638295,0.1440914,0.7120708
191,3.9815545,1.2085794,0.760785,0.13377385,0.20152529,0.15027069,0.26548967,0.62777627
192,4.119612,1.2101251,0.54077536,0.16502948,0.1970555,0.28704488,0.15825507,0.6645171
193,4.442748,1.3646965,0.7299121,0.1444924,0.18569891,0.27102068,0.23377584,0.870056
194,3.86862,1.2279952,0.39771268,0.16861206,0.47047502,0.21838808,0.26747233,0.47481075
195,3.8345327,1.2249618,0.52131534,0.17720035,0.5497333,0.14185375,0.17500424,0.5121014
196,4.1012764,1.3383229,0.5781622,0.14360134,0.40926194,0.2993193,0.31074026,0.92693925
197,4.3931065,1.1883926,0.70016384,0.29675853,0.23112546,0.18269406,0.16133194,0.64307046
198,4.497136,1.1816994,0.39241987,0.25551274,0.19164807,0.10580237,0.25569,0.6552002
199,4.5081286,1.1901861,0.5925846,0.18587999,0.41056812,0.32754844,0.34094265,0.5200652
200,4.2794423,1.1951108,0.37332192,0.08493003,0.6411056,0.15532996,0.19356728,0.47281697
201,4.4897146,1.3820114,0.40204102,0.2504418,0.25302264,0.06414218,0.23770201,0.81382865
202,3.7236972,1.2479707,0.40415743,0.191998,0.5571802,0.16366142,0.119850814,0.94042337
203,3.9206982,1.345577,0.5509883,0.23406658,0.5891141,0.16687812,0.21455729,0.15235008
204,4.056304,1.5171843,0.57084715,0.14890674,0.54159224,0.17180638,0.17783213,0.1412859
205,3.7594316,1.3541961,0.6706573,0.20604777,0.3830389,0.08294468,0.09947348,0.5691623
206,4.230124,1.7975953,0.5928505,0.1673138,0.37979123,0.22458643,0.2306952,0.7472324
207,4.330269,1.7178485,0.47801495,0.18744734,0.32140982,0.19885291,0.21779549,0.32493457
208,4.311974,1.624951,0.36501724,0.16676337,0.61808276,0.23483182,0.17877974,0.19704974
209,4.2697034,1.5179911,0.34041947,0.17662627,0.6037897,0.24224241,0.1856797,0.056192987
210,4.1121626,1.1580123,0.30788857,0.19080955,0.52480406,0.24516757,0.17753658,0.11151426
211,4.398907,1.2474418,0.29943395,0.15350696,0.56990457,0.25877446,0.14996995,-0.031905454
212,4.3110437,1.2275207,0.5314793,0.17724335,0.58800995,0.28861818,0.2988501,0.1864346
213,4.08693,1.134022,0.46020687,0.17042863,0.5385209,0.2831758,0.35081074,0.26650888
214,4.1072145,1.4791765,0.48611933,0.17920247,0.6000911,0.16654415,0.11808909,0.24311335
215,4.182985,1.7470257,0.4245806,0.17040935,0.4553864,0.1778455,0.2580715,0.12113082
216,4.0942645,1.7911494,0.6569366,0.16834305,0.34735236,0.21570216,0.22785935,0.740432
217,4.5183425,1.6422901,0.62205064,0.23085919,0.45579162,0.21741296,0.20786767,0.94210273
218,4.501832,1.6656418,0.85020113,0.17623898,0.47587833,0.18955064,0.2113636,0.78293175
219,4.405792,1.6290243,0.6724521,0.2400657,0.32396492,0.23994778,0.15431464,0.9311431
220,4.2313657,1.8026819,0.6272734,0.15936829,0.36641863,0.22083177,0.23279184,0.7367775
221,4.2793674,1.7320237,0.4172893,0.16937791,0.2848906,0.23090625,0.22675094,0.88709426
222,4.1382427,1.7878368,0.77486587,0.17431605,0.22606055,0.17722288,0.17874831,0.5578084
223,4.5207186,1.7882317,0.5870881,0.2215097,0.5323453,0.20300484,0.23765476,0.28785977
224,4.5420403,1.3923342,0.510147,0.1530788,0.5916772,0.2849632,0.23159164,-0.005858781
225,4.5355077,1.3916769,0.51878965,0.14405388,0.58384144,0.30437,0.212629,0.035535164
226,4.522071,1.6871059,0.40504944,0.22161117,0.6370801,0.16466339,0.32174852,0.1822245
227,4.392803,1.730341,0.4926154,0.18529381,0.3355662,0.20077899,0.22097564,0.28900507
228,4.1029577,1.4470935,0.678936,0.16187969,0.27056742,0.16502646,0.15114765,0.11269984
229,4.0246916,1.3760682,0.57221043,0.24287784,0.6154854,0.10924263,0.17572787,0.6953358
230,3.771013,1.1910213,0.6322322,0.12157813,0.50038147,0.21391161,0.09063819,0.72002035
231,3.9162984,1.1924415,0.7441518,0.3436737,0.18353902,0.24924228,0.14726481,0.83557945
232,4.5003104,1.1914129,0.80887103,0.30512932,0.25144458,0.1300284,0.15394959,0.68669164
233,4.1919875,1.3083643,0.8382531,0.3061224,0.22425072,0.23800105,0.13788891,0.93710285
234,4.0876074,1.2188919,0.7860999,0.13005379,0.20305967,0.18511212,0.29885092,0.691402
235,4.43071,1.1974592,0.64416945,0.24432513,0.33027288,0.24251187,0.10824626,0.7509976
236,4.585271,1.2177131,0.35719323,0.17890988,0.22894765,0.025016356,0.28656182,0.34938547
237,3.8021078,1.230189,0.8019796,0.18617575,0.39195627,0.19568066,0.13680792,0.70615655
238,4.0538926,1.3082551,0.53630257,0.14156325,0.404731,0.29090062,0.28957936,0.9325556
239,4.4890695,1.26865,0.85066605,0.28366345,0.4113486,0.19235514,0.22358313,0.86592
240,3.8525558,1.1919913,0.48602045,0.17880133,0.4772654,0.24524964,0.21957213,0.9652591
241,4.1288934,1.7789592,0.7633169,0.17394945,0.22913529,0.17783415,0.17947173,0.55126333
242,3.7389922,1.2524493,0.48282588,0.16134863,0.5897429,0.17008327,0.117400676,0.49369875
243,4.3058405,1.5055788,0.7975883,0.13894817,0.46352732,0.16805665,0.19501883,0.7282268
244,4.318751,1.6545713,0.494652,0.2612034,0.6073388,0.18292436,0.15992233,0.95275694
245,3.8153322,1.3527234,0.67066556,0.25007695,0.4655678,0.09762935,0.10790524,0.5355828
246,3.9897254,1.7772189,0.7916181,0.13069917,0.27574044,0.19257836,0.22848725,0.6990985
247,4.4246483,1.8648379,0.6695105,0.17412424,0.3195143,0.19490659,0.19342308,0.2302984
248,4.0022535,1.7901373,0.3998075,0.22434676,0.26641014,0.23265915,0.22834893,0.9019846
249,3.99303,1.4015472,0.4777072,0.058342874,0.2866721,0.2106665,0.2736038,0.86629146
250,4.434414,1.6221732,0.79906964,0.13651888,0.5893075,0.18071549,0.20368956,0.7580073
251,4.2468314,1.4623121,0.7802993,0.1686188,0.37953088,0.20837946,0.21526097,0.69302887
252,3.9332628,1.3393369,0.2670756,0.19981056,0.22327153,0.14170547,0.22962256,0.36762348
253,3.883068,1.1913908,0.7466059,0.17379549,0.5574959,0.19370584,0.12866323,0.7472141
254,4.4804134,1.7022685,0.789393,0.18144225,0.12915967,0.20294392,0.21035188,0.7844537
255,4.5358734,1.8574717,0.82114595,0.17099518,0.33008024,0.19981863,0.17960867,0.046730466
256,3.9859624,1.7328835,0.4143062,0.22072905,0.38571677,0.20809782,0.18942888,0.72183216
257,4.225882,1.8486865,0.61459196,0.19758385,0.285849,0.19969045,0.19813961,0.32211807
258,4.5033755,1.8638716,0.7913683,0.17033938,0.3262474,0.20059332,0.18546246,0.09781668
259,4.482371,1.6221824,0.44686967,0.24283278,0.1697629,0.21414962,0.22866486,0.8451105
260,4.32761,1.185028,0.78364706,0.21799797,0.28639224,0.15486665,0.17407599,0.1959782
261,4.010472,1.1985414,0.46029142,0.2245222,0.4150404,0.09101187,0.21878913,0.091223314
262,4.3804107,1.3880835,0.72424114,0.119380146,0.60264623,0.14077853,0.22690701,0.061987095
263,4.0247736,1.1238431,0.35051107,0.15644437,0.4947007,0.2534097,0.29146746,0.17148246
264,4.517833,1.1706812,0.71557397,0.0601604,0.5607932,0.29998127,0.28601986,0.10184458
265,4.525503,1.2694726,0.37007517,0.092252776,0.351557,0.19662581,0.24789032,0.13631287
266,4.4003963,1.2271392,0.58380866,0.3218835,0.41004884,0.20813046,0.19635808,0.85823303
267,4.5157475,1.2500525,0.8410586,0.28259674,0.37683237,0.17228241,0.20895095,0.84297544
268,4.484237,1.6804793,0.7437927,0.18698241,0.55884016,0.16384427,0.18765487,0.9940624
269,4.440054,1.2003784,0.32116166,0.1329926,0.6086517,0.18468596,0.16445473,0.606649
270,4.2573333,1.7613449,0.654359,0.18338408,0.25861388,0.19122893,0.2031942,0.45567593
271,4.1987066,1.5774596,0.70100766,0.21959567,0.49725637,0.18211873,0.16421965,0.9631692
272,4.2225447,1.7865592,0.53470933,0.18134151,0.3983328,0.23038833,0.22808069,0.76325345
273,4.3992047,1.606978,0.56567705,0.22058645,0.22616379,0.22986192,0.16918814,0.95080936
274,4.174176,1.5142933,0.4294713,0.1966882,0.40032628,0.1940008,0.19306618,0.9485606
275,4.2872415,1.8095675,0.73031926,0.13004157,0.28724557,0.20804206,0.23864548,0.6927321
276,4.4979515,1.7547197,0.65277964,0.22520947,0.5248012,0.20075937,0.24270302,0.3122843
277,3.8445358,1.1956081,0.78391904,0.14299424,0.25039205,0.18011081,0.25876078,0.16502903
278,3.8253078,1.3787948,0.6890409,0.25825423,0.26051024,0.23191105,0.2994797,0.029683264
279,3.8151002,1.3159223,0.54199094,0.15666506,0.19094534,0.21276365,0.22527707,0.23308262
280,4.5298166,1.184576,0.40160117,0.20045146,0.21484852,0.091340914,0.291445,0.6405855
281,4.568947,1.2027793,0.35374975,0.2162135,0.30060574,0.2422698,0.2268082,0.09617559
