Cu,Mg,Mn,Fe,Si,Zn,Zr,temperature
3.9325383,1.764096,0.77144545,0.18962604,0.16494867,0.16008046,0.13903749,0.7461187
3.949274,1.4199162,0.39195508,0.08618158,0.2118063,0.26014736,0.18571818,0.080196016
4.204512,1.2897443,0.65675235,0.19122577,0.6102989,0.18419138,0.21086645,0.18587849
4.104691,1.1699572,0.8248615,0.11970459,0.21373764,0.13317186,0.24949862,0.57839286
4.4801574,1.7172288,0.65651906,0.15142813,0.18133646,0.2144405,0.24876462,0.70511585
4.007334,1.4335468,0.47790152,0.22863731,0.24615407,0.12438808,0.26701188,0.28411132
3.729971,1.6188186,0.38714242,0.1376217,0.60352385,0.21450335,0.14095014,0.03211888
3.7844815,1.4340146,0.8397096,0.27563572,0.40961894,0.22165224,0.30752325,-0.021653987
3.7713904,1.7158676,0.5632285,0.2608625,0.6123991,0.17444992,0.28156766,0.37873942
4.208679,1.2641404,0.60892546,0.19121863,0.28540674,0.21136814,0.145663,0.87805426
4.213579,1.2281921,0.5256136,0.21769401,0.20942637,0.16918164,0.22504689,0.40456244
3.9507704,1.3746941,0.8062359,0.23539978,0.5808979,0.25448832,0.2808986,0.076022826
4.5305037,1.6399996,0.37768126,0.29671264,0.44141796,0.207055,0.13745585,0.7498304
3.928107,1.4022758,0.76818454,0.20916611,0.6195766,0.25799033,0.24532266,0.12835413
3.7531195,1.7718222,0.76583064,0.2632308,0.23133534,0.16388872,0.18305746,0.9244822
4.3803124,1.6898398,0.7892219,0.19046216,0.23020664,0.1412993,0.20736356,0.2912863
4.495571,1.3647833,0.8152227,0.29705045,0.37834924,0.17413735,0.15425402,0.66919637
4.4610834,1.757217,0.6468282,0.16786759,0.34849936,0.27499133,0.20750114,0.23862746
4.2634373,1.7294219,0.76946294,0.21108969,0.29367325,0.20065185,0.15614486,-0.012107827
4.0831428,1.5950677,0.43169624,0.18792066,0.6199618,0.18941683,0.20140214,0.7700048
3.921093,1.6757036,0.4432517,0.16418332,0.58896255,0.18709764,0.16480224,0.42243755
4.461364,1.6445137,0.4324743,0.20674881,0.61262816,0.18068516,0.22638139,0.38498828
4.0401344,1.2331185,0.5837848,0.20329514,0.36649618,0.28093395,0.13671347,0.8025187
3.8017914,1.214836,0.79310787,0.26082188,0.41831043,0.24626704,0.08862249,0.7087328
3.7502632,1.7490326,0.80973524,0.31767377,0.58224225,0.21714267,0.2651029,0.9740299
3.7661102,1.7222099,0.55212444,0.26289004,0.60681266,0.17735818,0.27392992,0.36768007
3.8145216,1.7259607,0.372126,0.25160488,0.34531933,0.18700013,0.17562148,0.77273047
4.141856,1.7837726,0.47665146,0.21372946,0.57970977,0.16700232,0.22067383,0.061189376
4.002692,1.4665496,0.53059626,0.20119254,0.3864575,0.12055195,0.18274926,0.85620916
3.8049426,1.1974692,0.38270935,0.2672305,0.17562076,0.26589316,0.16503578,0.73327225
4.5180407,1.2220966,0.8291683,0.2853224,0.2092421,0.09513802,0.15000907,0.6018732
4.502539,1.6600109,0.6180887,0.23593391,0.22538686,0.23542145,0.21561143,0.75645345
4.496085,1.2706134,0.7925948,0.23640575,0.20875603,0.25337502,0.19605678,0.8877352
4.279568,1.2081761,0.5777806,0.1981618,0.36970884,0.20389946,0.22035527,0.5058106
3.8032908,1.7861446,0.78760755,0.16899464,0.27429068,0.19274744,0.16493462,0.15134624
3.7798805,1.3895025,0.7847671,0.20244905,0.60169065,0.25361118,0.19247416,0.7925744
3.8118267,1.7620413,0.45307446,0.27203217,0.5696622,0.2468698,0.27131456,0.85063815
3.7597597,1.4631646,0.4080458,0.19062418,0.17592221,0.14487615,0.13023095,0.817415
4.506516,1.3886669,0.6328196,0.15541552,0.18011627,0.18793021,0.19677317,0.08987666
3.9168177,1.714509,0.7316272,0.23043288,0.24074164,0.23388746,0.15743189,0.46432838
3.9921527,1.7950449,0.7589605,0.21647099,0.1667214,0.13537672,0.093786195,0.64150983
3.784412,1.7278638,0.5306902,0.23392734,0.27061978,0.1794149,0.22731794,0.80585945
4.4686275,1.6973696,0.7993926,0.20177527,0.46188334,0.21000329,0.18266581,0.6295699
4.235076,1.234865,0.5372808,0.21408407,0.20458785,0.17251198,0.22568358,0.40008706
4.5022674,1.2443323,0.7993901,0.27201825,0.6126673,0.2350704,0.18481183,0.7757978
3.8750927,1.6792568,0.4466125,0.13487515,0.6107287,0.20556164,0.15924406,0.48587885
4.0015507,1.558523,0.78022516,0.13951689,0.5931443,0.25796124,0.12207415,0.73623776
4.5271554,1.631578,0.3972266,0.30405396,0.5078075,0.19863582,0.12125511,0.7487153
3.835344,1.2154378,0.3514526,0.21649817,0.36703044,0.27335683,0.12573445,0.7862275
4.3072786,1.8259978,0.53476864,0.2763219,0.57077104,0.18138966,0.20533407,0.7323502
4.061279,1.4352841,0.61811745,0.19447286,0.38389924,0.1549441,0.21433601,0.121102
3.9725618,1.8037602,0.773375,0.28502798,0.60010445,0.13385555,0.12590285,0.8118304
3.9641533,1.8032457,0.7625936,0.26983216,0.5904137,0.0919551,0.10973538,0.73783517
3.911899,1.4447895,0.52910495,0.20435502,0.3299044,0.19280362,0.20217276,0.5380674
4.200701,1.2238516,0.7819328,0.19457254,0.4134063,0.20173314,0.19575088,0.8605254
4.0055923,1.5667784,0.67534155,0.21790656,0.19184312,0.22083673,0.16406259,0.87628305
3.7332633,1.795048,0.553943,0.21547332,0.39346668,0.18957481,0.15708306,0.13281769
4.192844,1.789488,0.7177355,0.23744868,0.20641962,0.22268337,0.15218994,0.4738866
4.494025,1.2474302,0.49939576,0.24271964,0.18422303,0.2486047,0.24750356,0.6640073
3.7883353,1.7113402,0.42526606,0.2116526,0.5892379,0.21013758,0.21194176,0.68633235
4.52275,1.2529392,0.6394836,0.2087793,0.4004082,0.20849453,0.19591099,0.86782736
4.4873886,1.2427497,0.48783112,0.2492513,0.18355426,0.24954228,0.24550833,0.6586579
3.9261951,1.7332145,0.5201414,0.16781193,0.52212405,0.19639432,0.14525522,0.39472625
4.258056,1.563865,0.42119798,0.18735306,0.33983713,0.18655431,0.2444924,0.68728906
3.9029481,1.6601527,0.41883937,0.1726211,0.59802467,0.18183479,0.17661768,0.43578917
4.498011,1.3025659,0.42689088,0.18529564,0.22720262,0.19009362,0.18529361,0.8854463
3.794479,1.2906758,0.46918544,0.11655478,0.5818469,0.22863437,0.116853826,0.5320911
4.4572186,1.5806742,0.35179055,0.25805256,0.3306828,0.22270837,0.18232074,0.73650444
4.1347013,1.4341211,0.7676747,0.2054134,0.35048807,0.1838603,0.20923701,0.1194224
3.9694777,1.829891,0.40812966,0.26315263,0.13838804,0.22568434,0.22169405,0.7768196
4.46053,1.2243551,0.39387038,0.13806838,0.3932561,0.26384124,0.08785749,0.06975102
3.7760863,1.2174659,0.79712677,0.24032788,0.22530296,0.067345805,0.18536037,0.72665155
4.2211304,1.4141123,0.82250977,0.28076106,0.3587889,0.20473158,0.24962202,1.0112703
4.4942923,1.6820446,0.6314102,0.19938476,0.1986472,0.22574013,0.2322421,0.74255997
3.8793519,1.7084279,0.45048082,0.24115083,0.5948456,0.2298224,0.25067472,0.8209152
4.1994643,1.621921,0.5898162,0.2597555,0.60465693,0.09626586,0.20185152,0.8836068
4.017773,1.7377963,0.56882143,0.21391594,0.17975116,0.218824,0.21665081,0.769734
4.2007546,1.2249854,0.51091856,0.22301891,0.2195104,0.16801587,0.22291481,0.4139873
3.9469137,1.7744496,0.39686275,0.26863718,0.54132277,0.16308397,0.21628216,0.056493603
3.9880035,1.5633658,0.66020703,0.21774238,0.18855381,0.22045994,0.16438447,0.87957335
4.213544,1.6216676,0.57762057,0.21417716,0.5422766,0.1610826,0.18568595,0.17026722
3.7947938,1.7556603,0.3988119,0.21579209,0.6095665,0.1759466,0.08965523,0.05069881
4.4211802,1.366306,0.81191075,0.26608792,0.25181353,0.14601761,0.20507511,0.63517463
4.0453415,1.2676377,0.48631844,0.19236113,0.5129478,0.1843993,0.22587465,0.57561266
3.9953125,1.4165652,0.7923627,0.22674079,0.6011379,0.22242007,0.10134853,0.85077715
4.4710355,1.6237891,0.4191369,0.13751003,0.22569653,0.19021332,0.2742061,0.01228752
4.5030093,1.3863859,0.8007616,0.2536327,0.39582726,0.1958357,0.15323728,0.64835423
4.4547486,1.6675916,0.7969937,0.1626331,0.5927388,0.0814758,0.26326302,0.8726453
3.7769365,1.5468043,0.7673638,0.25546238,0.61137956,0.15292239,0.19610164,0.8927921
4.478628,1.7914445,0.7719112,0.22125974,0.5992176,0.22084713,0.16018921,0.2439177
4.2030067,1.819356,0.5438119,0.19180174,0.17412958,0.257215,0.2187653,0.82391614
4.180881,1.2130778,0.79559934,0.24986838,0.2371715,0.23638573,0.192882,0.93636715
4.028351,1.7881664,0.45688072,0.2733509,0.37538213,0.23437917,0.16906433,0.82576066
3.99887,1.302198,0.6597799,0.280737,0.43907472,0.022789124,0.14205962,0.022843592
4.522865,1.2243366,0.65515757,0.23131484,0.37806052,0.20813645,0.187264,0.8888827
4.434314,1.4441214,0.6012865,0.22771376,0.55273414,0.07784839,0.27763486,0.38350758
3.822849,1.6908528,0.42547312,0.2090226,0.5975393,0.20327231,0.20985584,0.6970811
4.1732774,1.7998104,0.79247814,0.1631712,0.2912193,0.14485425,0.18317384,0.17215624
4.165689,1.3901852,0.8065165,0.26265723,0.5397938,0.19559246,0.2684436,0.97460675
4.482987,1.3232352,0.83720714,0.24198851,0.19456378,0.26303658,0.20546114,0.88788223
3.7330146,1.8139294,0.77402234,0.2350991,0.35281962,0.18601525,0.22891429,0.68715775
4.1621194,1.4648571,0.8533909,0.19948532,0.27499646,0.19764729,0.2051897,0.049247228
4.505587,1.608886,0.81316507,0.23275375,0.19268239,0.12136737,0.20602751,0.8904058
4.207413,1.4434521,0.5632308,0.18531506,0.58294857,0.24068074,0.20581746,0.7261256
4.496782,1.6240144,0.6248489,0.31400815,0.3757056,0.22163701,0.17447628,0.77648854
4.4934735,1.3709443,0.6352433,0.14949173,0.59505546,0.22900899,0.1596282,-0.0076611415
4.0685234,1.4517026,0.5137544,0.18702899,0.6283014,0.15895417,0.21459822,0.70311534
4.0442605,1.8168279,0.45447823,0.2812049,0.30936947,0.23809439,0.17479458,0.8323027
4.099725,1.7840697,0.46343008,0.23002216,0.57638246,0.16523415,0.21656595,0.05953168
4.471604,1.8267887,0.36772388,0.22545974,0.3336992,0.21437365,0.27387404,0.13131902
4.5076985,1.3141327,0.48835555,0.18282534,0.4666866,0.21687417,0.1809693,0.78812444
3.8760931,1.6784618,0.39880198,0.15047914,0.5145115,0.19862291,0.15013772,0.44894618
4.5116744,1.5827377,0.38683558,0.2927353,0.58276784,0.17889184,0.10592366,0.74145246
4.0474195,1.3132799,0.69651705,0.17429404,0.20272473,0.11022135,0.2652432,0.26097763
3.9769878,1.823229,0.42051354,0.27517363,0.21084315,0.23056036,0.19949356,0.8019176
3.9430869,1.6760693,0.43704325,0.2536758,0.52941895,0.22026232,0.21240768,0.81996167
4.5259213,1.6037765,0.58758354,0.2644955,0.586376,0.116996594,0.18734398,0.8361337
4.2109885,1.8083196,0.728547,0.22560862,0.25714615,0.15684119,0.16408534,0.30560064
3.7925854,1.2073128,0.832004,0.08268538,0.20620388,0.19438164,0.31769544,0.52564776
3.7827957,1.8113753,0.75466985,0.2878594,0.2062417,0.15528807,0.14196184,0.83955
4.0106974,1.7684104,0.3880716,0.26361486,0.42760485,0.17273194,0.2567163,0.04939618
4.218997,1.3101921,0.6372277,0.17643487,0.5871634,0.12640749,0.18172872,0.4501278
4.0979853,1.5546501,0.3506314,0.18137147,0.37129834,0.1038119,0.19483937,0.7885833
3.7810397,1.6645643,0.39600733,0.1749219,0.60728025,0.19960427,0.13844198,0.0348536
4.506666,1.6324449,0.5769208,0.278257,0.25519902,0.23993215,0.19428605,0.769997
3.7902775,1.2166457,0.5553729,0.19751108,0.55509853,0.20493405,0.07589207,0.6880655
4.263243,1.6181808,0.5978937,0.18223925,0.32861274,0.20473222,0.24252161,0.2690186
4.526321,1.8383865,0.69060504,0.21007636,0.5987278,0.14259967,0.23617832,0.7444921
4.4838347,1.7411863,0.76956433,0.15903533,0.607189,0.08966259,0.26670358,0.83522797
4.4937396,1.4382904,0.8340823,0.23862666,0.3740607,0.20552336,0.15969124,0.8287678
4.486176,1.7170136,0.4495022,0.17481151,0.10944251,0.21117508,0.24812558,0.7358914
4.0737514,1.4109437,0.8266205,0.3295071,0.2872234,0.13318017,0.32322803,0.5436105
4.202295,1.6687611,0.64895296,0.25237677,0.22967786,0.19120133,0.17130698,0.50694567
4.223066,1.6806185,0.61111057,0.23022357,0.49192172,0.17228895,0.15674646,0.89000434
4.0275145,1.2266861,0.813797,0.20115247,0.60823166,0.07408998,0.10203726,0.7550198
3.794422,1.6404452,0.6548715,0.18430255,0.39164215,0.18212993,0.22518538,-0.042421527
4.139412,1.5914593,0.76464057,0.19113919,0.23482251,0.22534978,0.18973418,0.85329807
3.9653425,1.5977519,0.79330844,0.25004804,0.18274194,0.15706241,0.13523805,0.8212656
3.776477,1.4234309,0.82002175,0.23324549,0.5699157,0.18150407,0.18945643,0.08698682
4.2079086,1.2539775,0.66894644,0.16842681,0.61531985,0.22755875,0.2416952,0.223052
3.7503858,1.8163799,0.61969364,0.31867373,0.6160042,0.0809444,0.1945942,0.9092828
3.9915905,1.4256871,0.4066113,0.088905334,0.16601348,0.2782656,0.23869395,0.0069697574
3.7863774,1.463984,0.5752242,0.21405734,0.1576297,0.17009518,0.11203156,0.8897387
4.3130097,1.7842422,0.49147642,0.26348272,0.5796113,0.18761855,0.20607002,0.80629516
3.7541366,1.6048942,0.6783446,0.17450407,0.28064764,0.17289093,0.21164337,0.8449792
3.749865,1.5544124,0.7982707,0.24914382,0.6062362,0.21513942,0.18734156,0.78685623
3.9477758,1.7456291,0.7874553,0.25689426,0.28787357,0.22007611,0.14257531,0.36771172
4.223829,1.6247042,0.6637888,0.24126801,0.5798527,0.098656304,0.2199395,0.91244876
4.285056,1.3343656,0.6494867,0.17370194,0.43356287,0.075229116,0.30185348,-0.024239935
3.755394,1.8069011,0.77951336,0.22178769,0.39847216,0.19271338,0.25374654,0.7672218
3.9670036,1.5869677,0.3983055,0.16945,0.3907195,0.19319643,0.284099,0.029663287
3.7931256,1.2251437,0.41021466,0.12633388,0.45245844,0.24252287,0.2547116,0.07513226
4.2072616,1.8315212,0.5301606,0.20137784,0.19155958,0.25321534,0.2109558,0.8271655
3.7895455,1.7532647,0.4444998,0.2459618,0.5774944,0.23477048,0.24917908,0.78567904
4.4613547,1.4020174,0.52381,0.19982392,0.599159,0.25198555,0.17664483,0.89361703
4.192676,1.817821,0.5590713,0.32354245,0.4460761,0.20052677,0.19580387,0.624017
4.221535,1.6612902,0.577752,0.18693323,0.18376657,0.21805996,0.19589767,0.87655205
3.7725086,1.3552351,0.64981,0.27832913,0.5277074,0.18917555,0.17106974,0.9102508
3.7994146,1.4227262,0.7012859,0.20225558,0.17000175,0.15944266,0.14268702,0.9187093
4.2722144,1.3461921,0.6132041,0.14598794,0.40680832,0.05612879,0.2751581,0.017226659
4.5057015,1.2200685,0.6720908,0.25138104,0.35193613,0.23173375,0.2187286,0.6251292
4.464545,1.7360725,0.62708247,0.12132341,0.14304864,0.20449653,0.26279697,0.69235164
3.8131385,1.6624349,0.40933347,0.20086755,0.5940666,0.19195637,0.18694623,0.6232184
4.0254717,1.3281848,0.43313935,0.26888657,0.47079414,0.14071202,0.2808925,0.26751432
4.5214324,1.4809518,0.53710115,0.25232467,0.59500754,0.14439647,0.22107223,0.8702135
4.0475163,1.4556115,0.4805821,0.1927578,0.5953638,0.12929839,0.21076772,0.7244618
4.1949205,1.2637205,0.665722,0.16931963,0.41265005,0.2832078,0.13329232,0.8393665
4.5220804,1.3278787,0.81283426,0.16207166,0.39994752,0.13911417,0.1648922,0.03735929
3.9966612,1.2724187,0.61097956,0.23958328,0.22250718,0.24617666,0.17558691,0.8084007
4.230642,1.2694032,0.8095448,0.23622292,0.21261913,0.09464375,0.07988108,0.6493084
3.7712803,1.7602572,0.44098815,0.18558969,0.61418515,0.23182029,0.23417878,0.68652785
4.2299323,1.8113648,0.7276653,0.22314031,0.25472263,0.15353534,0.16596387,0.3014552
3.9944048,1.2456656,0.86125046,0.26319677,0.55694586,0.093736686,0.2613103,0.50838923
4.5280266,1.5998801,0.59762883,0.24868551,0.59081334,0.10084466,0.2014795,0.8524294
4.197849,1.2526171,0.63348234,0.17509359,0.37782738,0.2634684,0.1619449,0.8424073
4.490371,1.7919005,0.7519915,0.19563223,0.59944695,0.19063994,0.18925312,0.6700372
4.118172,1.3926393,0.8604826,0.28225276,0.24746183,0.18295267,0.30276236,0.63824606
3.9274378,1.5770262,0.80531025,0.18764117,0.60657126,0.24006069,0.1562103,0.7531508
4.173307,1.4533012,0.45966408,0.21795224,0.47786888,0.18499294,0.23057199,0.6758181
4.5094657,1.4428265,0.56384665,0.22383067,0.5971803,0.19520363,0.20626032,0.8942851
4.458677,1.653229,0.79095316,0.19855846,0.59301317,0.110717304,0.23605534,0.85456175
4.126957,1.8351173,0.4801021,0.28503186,0.28489438,0.18585414,0.2056655,0.017037354
4.5348864,1.3366404,0.8127191,0.32640648,0.18365633,0.10788075,0.16380095,0.6070196
4.1939483,1.2716898,0.55560964,0.22379962,0.1723544,0.16088274,0.1816074,0.9113475
4.1949296,1.3278855,0.81596446,0.16625874,0.37854704,0.117836475,0.26703233,0.30492958
4.19085,1.3681968,0.41594976,0.29531026,0.41964263,0.2571293,0.19720271,0.88905925
4.3540106,1.6869719,0.49487847,0.23700455,0.6545885,0.16484973,0.18980698,0.2915013
3.9808822,1.7072904,0.64218247,0.17027047,0.19336665,0.21011671,0.19538231,0.521149
3.7802067,1.8140222,0.81459236,0.24467741,0.2479986,0.1613791,0.1526581,0.6349655
4.0161414,1.6450305,0.43284613,0.2467967,0.2107093,0.1961736,0.24920236,0.017152183
4.4801164,1.713131,0.43631172,0.1772138,0.11585501,0.21034902,0.24723071,0.73545384
4.16831,1.8553135,0.45033905,0.2959825,0.35956424,0.23228854,0.16309002,0.82892936
4.219333,1.709116,0.46042618,0.21917391,0.59903485,0.18744269,0.19965105,0.779183
4.4996047,1.4181073,0.82904255,0.2433298,0.18575999,0.22424565,0.21026242,0.9015185
4.5201316,1.4010639,0.3574039,0.2154806,0.23052654,0.07623214,0.22715391,-0.025964983
4.0635176,1.3956735,0.4871316,0.20560877,0.52184254,0.17488989,0.23729764,0.6464773
4.025916,1.1976637,0.80647707,0.23164186,0.21865788,0.24940008,0.15967666,0.63824177
4.539613,1.2287043,0.4535861,0.30810255,0.19592279,0.21712361,0.21138944,0.13891709
3.7790308,1.7600527,0.39389744,0.2534549,0.37672794,0.20593023,0.20200577,0.8269578
3.778222,1.7720897,0.4468007,0.26106614,0.5669489,0.24426624,0.26216435,0.81600094
4.1043434,1.7066578,0.6927113,0.21226534,0.3594308,0.1890372,0.2156632,0.54394233
4.251017,1.6705763,0.42077294,0.23053879,0.56957364,0.19361159,0.21289317,0.86198974
3.9548464,1.7638493,0.43903074,0.2647289,0.3601833,0.22483164,0.1708404,0.81589663
4.1283355,1.5849339,0.33757675,0.1697724,0.33651206,0.11688379,0.19612916,0.7888952
4.427043,1.2551581,0.44010893,0.2561802,0.567631,0.23501238,0.12673047,0.6058586
4.285687,1.2132431,0.5815144,0.19657919,0.3741934,0.20171086,0.21669489,0.4987711
4.229926,1.2358135,0.8155509,0.2318089,0.35188478,0.13466541,0.13002457,0.12556946
3.7653835,1.7940321,0.45216516,0.18733996,0.61948204,0.24388358,0.2493073,0.718312
4.499615,1.2154524,0.7908937,0.2782937,0.620268,0.24342796,0.19131607,0.78341067
4.196776,1.7393112,0.4834247,0.12932187,0.6248972,0.18280676,0.23652634,0.101551674
3.8194616,1.2775662,0.5067226,0.19077295,0.3845998,0.17596704,0.1756629,0.46897137
3.804236,1.7867167,0.7857381,0.16796623,0.27367306,0.19125336,0.1650646,0.14925566
3.7483225,1.5637398,0.76666623,0.33374405,0.60226566,0.057997767,0.17121436,0.730754
3.901746,1.7681844,0.78650165,0.1405647,0.53099144,0.20138338,0.13600823,0.30336508
3.9788525,1.384875,0.78973687,0.20642045,0.63702565,0.22356808,0.11687831,0.8410182
4.489057,1.6432939,0.7170733,0.23387638,0.26475427,0.2385329,0.21283798,0.7535325
4.205723,1.2593133,0.45129064,0.12851393,0.4150735,0.07420208,0.2165727,0.1488559
4.3971624,1.70214,0.8734711,0.23186518,0.48359752,0.21891427,0.15331434,0.15653786
4.5202036,1.2375171,0.4224377,0.22475451,0.18518063,0.06779786,0.24257144,0.25182804
4.1719847,1.6268873,0.35629478,0.17025699,0.42033222,0.11558271,0.17871076,0.7886817
4.197743,1.807895,0.77763724,0.2708186,0.42406875,0.10829506,0.11503924,0.8908108
4.3881707,1.6937119,0.4853241,0.16432755,0.4927127,0.18849981,0.24542475,0.35237983
4.496432,1.2820246,0.8046465,0.26517326,0.55772084,0.23129436,0.1802282,0.87326205
3.98261,1.8027292,0.7651026,0.22670224,0.18399766,0.11737586,0.09385031,0.6216523
4.0250783,1.4200715,0.45570812,0.22886725,0.3808576,0.09530296,0.22991309,0.37317738
4.026574,1.4787204,0.47017512,0.11891529,0.3106986,0.15395257,0.26862705,0.57998484
4.151393,1.8322873,0.8024811,0.20330685,0.39216,0.14026567,0.1797748,0.7699468
4.4950933,1.2471492,0.67543197,0.23145644,0.37083584,0.22650649,0.21591014,0.58200276
3.7931309,1.6075379,0.7736535,0.15325841,0.18818337,0.15620342,0.1725851,0.8018185
3.8104324,1.7589072,0.71854556,0.12637056,0.41723904,0.16268632,0.17156982,0.14188921
3.7547631,1.6085957,0.3942196,0.11763549,0.50719017,0.20045985,0.1650958,0.030272
3.8367324,1.2420952,0.42613578,0.17092605,0.6051783,0.21898668,0.17817518,0.87018514
4.5187182,1.2559102,0.38988343,0.27530235,0.19240886,0.10727245,0.2442177,0.1682415
4.06921,1.275728,0.46431735,0.17307207,0.3264782,0.21895006,0.2541334,0.8701826
4.2140355,1.842605,0.55852646,0.2661735,0.28978074,0.19200891,0.18123284,0.016000204
3.8228917,1.7959325,0.75319475,0.14715737,0.2735765,0.16726208,0.16284874,0.11077457
4.2051687,1.8217033,0.558158,0.3218849,0.45750868,0.20053,0.19479743,0.6286282
4.0571885,1.2707047,0.5760278,0.14601491,0.56545234,0.336059,0.1571835,0.78601265
4.2179456,1.2970289,0.59949327,0.22428612,0.17350739,0.16206613,0.18142626,0.92053115
3.9690967,1.2358671,0.6324544,0.17202234,0.36053067,0.24558161,0.2635949,0.20824057
3.757381,1.7848725,0.5287498,0.20324896,0.39982632,0.19878116,0.16859801,0.1434032
3.8942852,1.7300962,0.45476034,0.26551208,0.57794356,0.2492784,0.2782739,0.9011034
4.4145436,1.2356272,0.55832213,0.23152825,0.22600201,0.24769878,0.2572118,0.6035603
3.7765596,1.4197247,0.8062943,0.22510883,0.5923517,0.1806624,0.1763864,0.117623575
4.3344245,1.8066423,0.50542355,0.2682821,0.56885153,0.18135735,0.2139204,0.808312
4.057769,1.2042168,0.81540734,0.22933172,0.6122203,0.20441496,0.24802741,0.7888853
4.4887233,1.2846518,0.467056,0.2055021,0.50735706,0.22318028,0.16491675,0.7316
4.463823,1.4879687,0.47836593,0.2377613,0.58909965,0.14226073,0.23780257,0.3448171
4.419032,1.3204124,0.8542193,0.1644166,0.6321498,0.11340519,0.21841484,0.45209774
4.5034127,1.3481995,0.8223641,0.2629505,0.60829407,0.20339002,0.16279513,0.8174257
4.479919,1.8141066,0.58112246,0.1467377,0.26461214,0.28549907,0.21771553,0.2313377
3.7855072,1.1617087,0.76485664,0.18747942,0.17784059,0.22842334,0.22909567,0.093365446
4.4915605,1.2037191,0.40561363,0.18336347,0.41586858,0.15810597,0.21637729,0.095649205
3.8161988,1.4153906,0.67883223,0.29592177,0.39863575,0.27090052,0.0898994,0.69624126
4.2092996,1.8553311,0.4755754,0.2729631,0.3310734,0.23482656,0.16537645,0.83936155
4.495014,1.6509191,0.39369828,0.2712048,0.23645395,0.22638488,0.19725811,0.78930396
3.813726,1.6483688,0.40308377,0.19853929,0.59294504,0.18727738,0.1780334,0.5955866
3.9852352,1.2309451,0.84242415,0.19658059,0.26989734,0.0843259,0.1273039,0.38722497
4.2058244,1.296019,0.6626555,0.19633819,0.61448085,0.173114,0.19704165,0.17616257
4.172667,1.3804178,0.5887654,0.19508642,0.517063,0.26915675,0.22648019,0.7898463
4.0552516,1.3790141,0.4926215,0.20796657,0.53542054,0.17558113,0.23480894,0.64365244
4.1650753,1.6021836,0.7934631,0.20172726,0.26323608,0.19919321,0.17867842,-0.0136188045
4.5145555,1.4376767,0.36289203,0.2595769,0.43822765,0.24417928,0.13139307,0.6862068
3.7372563,1.7678056,0.4361389,0.21916531,0.58283573,0.2330248,0.23981155,0.73041534
3.8842707,1.21067,0.5789757,0.23347972,0.5983779,0.23709437,0.22440505,0.26598614
3.7732396,1.4080586,0.42799002,0.21509612,0.5817149,0.158474,0.18853754,-0.0027398095
3.7938437,1.2571546,0.58813137,0.22661051,0.574263,0.14456308,0.12908748,0.8465959
4.511611,1.5947669,0.3929377,0.29982498,0.58037484,0.18595773,0.10219068,0.73973405
4.20177,1.3999645,0.389596,0.0954912,0.21828201,0.23281287,0.2119802,0.06929568
4.3140044,1.2096474,0.47128713,0.2274016,0.583861,0.22959523,0.15659115,0.5757162
